0.250000+0.000000i,0.250000+0.000000i,0.250000+0.000000i,0.250000+0.000000i,0.250000+0.000000i,0.250000+0.000000i,0.250000+0.000000i,0.250000+0.000000i,0.250000+0.000000i,0.250000+0.000000i,0.250000+0.000000i,0.250000+0.000000i,0.250000+0.000000i,0.250000+0.000000i,0.250000+0.000000i,0.250000+0.000000i
0.250000+0.000000i,0.176777+0.176777i,0.000000+0.250000i,-0.176777+0.176777i,-0.250000+0.000000i,-0.176777-0.176777i,-0.000000-0.250000i,0.176777-0.176777i,0.250000+0.000000i,0.176777+0.176777i,0.000000+0.250000i,-0.176777+0.176777i,-0.250000+0.000000i,-0.176777-0.176777i,-0.000000-0.250000i,0.176777-0.176777i
0.250000+0.000000i,0.000000+0.250000i,-0.250000+0.000000i,-0.000000-0.250000i,0.250000-0.000000i,0.000000+0.250000i,-0.250000+0.000000i,-0.000000-0.250000i,0.250000+0.000000i,0.000000+0.250000i,-0.250000+0.000000i,-0.000000-0.250000i,0.250000-0.000000i,0.000000+0.250000i,-0.250000+0.000000i,-0.000000-0.250000i
0.250000+0.000000i,-0.176777+0.176777i,-0.000000-0.250000i,0.176777+0.176777i,-0.250000+0.000000i,0.176777-0.176777i,0.000000+0.250000i,-0.176777-0.176777i,0.250000+0.000000i,-0.176777+0.176777i,-0.000000-0.250000i,0.176777+0.176777i,-0.250000+0.000000i,0.176777-0.176777i,0.000000+0.250000i,-0.176777-0.176777i
0.250000+0.000000i,-0.250000+0.000000i,0.250000-0.000000i,-0.250000+0.000000i,0.250000-0.000000i,-0.250000+0.000000i,0.250000-0.000000i,-0.250000+0.000000i,0.250000+0.000000i,-0.250000+0.000000i,0.250000-0.000000i,-0.250000+0.000000i,0.250000-0.000000i,-0.250000+0.000000i,0.250000-0.000000i,-0.250000+0.000000i
0.250000+0.000000i,-0.176777-0.176777i,0.000000+0.250000i,0.176777-0.176777i,-0.250000+0.000000i,0.176777+0.176777i,-0.000000-0.250000i,-0.176777+0.176777i,0.250000+0.000000i,-0.176777-0.176777i,0.000000+0.250000i,0.176777-0.176777i,-0.250000+0.000000i,0.176777+0.176777i,-0.000000-0.250000i,-0.176777+0.176777i
0.250000+0.000000i,-0.000000-0.250000i,-0.250000+0.000000i,0.000000+0.250000i,0.250000-0.000000i,-0.000000-0.250000i,-0.250000+0.000000i,-0.000000+0.250000i,0.250000+0.000000i,-0.000000-0.250000i,-0.250000+0.000000i,0.000000+0.250000i,0.250000-0.000000i,-0.000000-0.250000i,-0.250000+0.000000i,-0.000000+0.250000i
0.250000+0.000000i,0.176777-0.176777i,-0.000000-0.250000i,-0.176777-0.176777i,-0.250000+0.000000i,-0.176777+0.176777i,-0.000000+0.250000i,0.176777+0.176777i,0.250000+0.000000i,0.176777-0.176777i,-0.000000-0.250000i,-0.176777-0.176777i,-0.250000+0.000000i,-0.176777+0.176777i,-0.000000+0.250000i,0.176777+0.176777i
0.250000+0.000000i,0.250000+0.000000i,0.250000+0.000000i,0.250000+0.000000i,0.250000+0.000000i,0.250000+0.000000i,0.250000+0.000000i,0.250000+0.000000i,-0.250000+0.000000i,-0.250000+0.000000i,-0.250000+0.000000i,-0.250000+0.000000i,-0.250000+0.000000i,-0.250000+0.000000i,-0.250000+0.000000i,-0.250000+0.000000i
0.250000+0.000000i,0.176777+0.176777i,0.000000+0.250000i,-0.176777+0.176777i,-0.250000+0.000000i,-0.176777-0.176777i,-0.000000-0.250000i,0.176777-0.176777i,-0.250000+0.000000i,-0.176777-0.176777i,-0.000000-0.250000i,0.176777-0.176777i,0.250000-0.000000i,0.176777+0.176777i,0.000000+0.250000i,-0.176777+0.176777i
0.250000+0.000000i,0.000000+0.250000i,-0.250000+0.000000i,-0.000000-0.250000i,0.250000-0.000000i,0.000000+0.250000i,-0.250000+0.000000i,-0.000000-0.250000i,-0.250000+0.000000i,-0.000000-0.250000i,0.250000-0.000000i,0.000000+0.250000i,-0.250000+0.000000i,-0.000000-0.250000i,0.250000-0.000000i,0.000000+0.250000i
0.250000+0.000000i,-0.176777+0.176777i,-0.000000-0.250000i,0.176777+0.176777i,-0.250000+0.000000i,0.176777-0.176777i,0.000000+0.250000i,-0.176777-0.176777i,-0.250000+0.000000i,0.176777-0.176777i,0.000000+0.250000i,-0.176777-0.176777i,0.250000-0.000000i,-0.176777+0.176777i,-0.000000-0.250000i,0.176777+0.176777i
0.250000+0.000000i,-0.250000+0.000000i,0.250000-0.000000i,-0.250000+0.000000i,0.250000-0.000000i,-0.250000+0.000000i,0.250000-0.000000i,-0.250000+0.000000i,-0.250000+0.000000i,0.250000-0.000000i,-0.250000+0.000000i,0.250000-0.000000i,-0.250000+0.000000i,0.250000-0.000000i,-0.250000+0.000000i,0.250000-0.000000i
0.250000+0.000000i,-0.176777-0.176777i,0.000000+0.250000i,0.176777-0.176777i,-0.250000+0.000000i,0.176777+0.176777i,-0.000000-0.250000i,-0.176777+0.176777i,-0.250000+0.000000i,0.176777+0.176777i,-0.000000-0.250000i,-0.176777+0.176777i,0.250000-0.000000i,-0.176777-0.176777i,0.000000+0.250000i,0.176777-0.176777i
0.250000+0.000000i,-0.000000-0.250000i,-0.250000+0.000000i,0.000000+0.250000i,0.250000-0.000000i,-0.000000-0.250000i,-0.250000+0.000000i,-0.000000+0.250000i,-0.250000+0.000000i,0.000000+0.250000i,0.250000-0.000000i,-0.000000-0.250000i,-0.250000+0.000000i,0.000000+0.250000i,0.250000-0.000000i,0.000000-0.250000i
0.250000+0.000000i,0.176777-0.176777i,-0.000000-0.250000i,-0.176777-0.176777i,-0.250000+0.000000i,-0.176777+0.176777i,-0.000000+0.250000i,0.176777+0.176777i,-0.250000+0.000000i,-0.176777+0.176777i,0.000000+0.250000i,0.176777+0.176777i,0.250000-0.000000i,0.176777-0.176777i,0.000000-0.250000i,-0.176777-0.176777i
